ISBN;Title;URL;Pages;Author;Price;
978-5-4461-1107-7; Философия Java. 4-е полное изд. ;https://sbermegamarket.ru/catalog/details/filosofiya-java-4-e-polnoe-izd-100024834514/?utm_source=google&utm_medium=cpc&utm_campaign=smm_search_shopping%3A88_hobby_%5Bregions%5D_%7C13334441466%7C&utm_term=&utm_content=gid%7C125521169480%7Caid%7C525168109820%7Cgc%3A13334441466%7Cgb%3A525168109820%7Cgad%3A125521169480%7Cgk%3Apla-1288034401156%7Cgst%3Au%7Cgf%3A%7Cgs%3A%7Cgp%3A%7Cgdev%3Ac%7Cregions%3A1012054&gclid=CjwKCAiAgbiQBhAHEiwAuQ6BknNwo5YdfVxSInFmzgrzD_Wt2Y2LlsMGCH-HQvqrmFTza8ENgQCpQBoCxWwQAvD_BwE; 1168; Брюс Эккель; 1960;
978-5-699-54574-2;Изучаем Java;https://www.ozon.ru/product/izuchaem-java-beyts-bert-serra-keti-249166299/?gclid=CjwKCAiAgbiQBhAHEiwAuQ6BksZwlKhxGbIhq9qYqzv8fN1vWo5uKb-mZmecg3cqAICfUsWQBY9mexoCPG8QAvD_BwE&sh=CCUHCQAAAA&utm_campaign=RF_Product_Shopping_Books_newclients_all_SSC&utm_medium=cpc&utm_source=google#section-description--offset-140720; 600;Сьерра Кэти, Бэйтс Берт;1431;
